TermID	Name	Value	UserValue_0	UserValue_1	UserValue_2	UserValue_3	UserValue_4	UserValue_5	UserValue_6	UserValue_7	UserValue_8	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	PC3_0	PC3_1	PC3_2	Representative	Eliminated
"GO:0033014"	"tetrapyrrole biosynthetic process"	NaN	NaN	NaN	NaN	NaN	12	628	16	5668	5.9E-06	5.36136514313112	0.795745295437759	0.753658777331516	0.94309773	null	null	null	null	null	6779	True
"GO:0019222"	"regulation of metabolic process"	NaN	NaN	NaN	NaN	NaN	NaN	58	628	329	5668	6.59532632875254	13.6375716352383	0.606748601090523	0.30808732	5.46435316771193	4.84341674395185	-5.41580935687337	3.61850518947687	0.647802016136838	null	False
"GO:0018130"	"heterocycle biosynthetic process"	NaN	NaN	NaN	NaN	NaN	14	628	35	5668	0.00021	6.39743210840682	8.64654808206813	0.798623503027368	0.32937789	-4.32167296856999	5.18652435420062	4.84297158656593	3.19436078739692	1.4911850089261	null	False
"GO:0019220"	"regulation of phosphate metabolic process"	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5	628	10	5.10515579216574	0.441126562342719	0.594310541300802	0.33350337	4.12288341460811	6.26380356370102	-4.70152473175207	5.46840303735682	0.189469915067436	null	False
"GO:0045859"	"regulation of protein kinase activity"	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5	628	10	4.77818744008259	0.207773917711154	0.600227913042747	0.93090979	null	null	null	null	null	19220	True
"GO:0043549"	"regulation of kinase activity"	NaN	NaN	NaN	NaN	NaN	NaN	5	628	10	5668	4.83765786930296	0.238266170217061	0.596168362438591	0.95857369	null	null	null	null	null	19220	True
"GO:0042325"	"regulation of phosphorylation"	NaN	NaN	NaN	NaN	NaN	5	628	10	5668	0.012	4.96816995697582	0.321792642502717	0.605939788574503	0.96739165	null	null	null	null	null	19220	True
"GO:0006351"	"transcription, DNA-templated"	NaN	NaN	NaN	NaN	49	628	167	5668	1.8E-08	3.7E-06	5.7450099550123	1.92495242381031	0.759771779435603	0.49209359	-3.63229514868538	6.43964289344833	4.25861132947337	5.23140820909444	2.20576619536174	null	False
"GO:0006352"	"DNA-templated transcription, initiation"	NaN	NaN	NaN	NaN	6	628	14	5668	0.011	0.26	5.38610105161372	0.842383967820459	0.777817955080196	0.88491613	null	null	null	null	null	6351	True
"GO:0016070"	"RNA metabolic process"	NaN	NaN	NaN	NaN	NaN	53	628	276	5668	0.00024	6.36800966634631	8.08016643797477	0.799850722323621	0.51962627	-3.90329895874211	4.86391046786104	4.296611752846	3.53229613077455	2.56298942531333	null	False
"GO:0006355"	"regulation of transcription, DNA-templated"	NaN	NaN	NaN	NaN	NaN	NaN	48	628	150	5668	6.46008845973629	9.9884738177474	0.489802249005153	0.53179802	4.87121634100271	5.41937310766646	-5.09634552939479	4.20537773245798	-0.405835440100047	null	False
"GO:0009889"	"regulation of biosynthetic process"	NaN	NaN	NaN	NaN	NaN	NaN	48	628	284	5668	6.518947228519	11.4382062522137	0.495165849603787	0.76952328	null	null	null	null	null	6355	True
"GO:0019219"	"regulation of nucleobase-containing compound metabolic process"	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.4772820586691	10.3918469132412	0.494860688440022	0.79606189	null	null	null	null	null	6355	True
"GO:0010468"	"regulation of gene expression"	NaN	NaN	NaN	NaN	NaN	NaN	49	628	286	5668	6.55155843606155	12.3301721600333	0.487599424249996	0.80755717	null	null	null	null	null	6355	True
"GO:0051171"	"regulation of nitrogen compound metabolic process"	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48	628	6.5580162671012	12.5148881729708	0.48757377510854	0.82497295	null	null	null	null	null	6355	True
"GO:0080090"	"regulation of primary metabolic process"	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48	628	309	6.56036580116495	12.5827772375439	0.487110782491953	0.82900326	null	null	null	null	null	6355	True
"GO:0031323"	"regulation of cellular metabolic process"	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57	628	301	6.56162556129514	12.6193291586718	0.486862235661878	0.8306663	null	null	null	null	null	6355	True
"GO:0060255"	"regulation of macromolecule metabolic process"	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49	628	312	6.58672533437449	13.3701428769444	0.481866000031175	0.84301718	null	null	null	null	null	6355	True
"GO:0010556"	"regulation of macromolecule biosynthetic process"	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48	628	284	6.51593871822457	11.3592435760674	0.488658793648206	0.85745006	null	null	null	null	null	6355	True
"GO:0031326"	"regulation of cellular biosynthetic process"	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48	628	284	6.51816715550178	11.4176795575902	0.482639717685436	0.88383993	null	null	null	null	null	6355	True
"GO:0051252"	"regulation of RNA metabolic process"	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48	628	150	6.46818865099393	10.1765209170931	0.492711113557561	0.88426193	null	null	null	null	null	6355	True
"GO:0050794"	"regulation of cellular process"	NaN	NaN	NaN	NaN	NaN	NaN	72	628	428	5668	6.779189853253	20.825747926719	0.573907954137679	0.64151655	4.8862430342433	4.76121953310897	-5.30825771987236	3.28303863415041	-0.654022396464934	null	False
"GO:0032774"	"RNA biosynthetic process"	NaN	NaN	NaN	NaN	NaN	49	628	169	5668	2.5E-08	5.78739954149129	2.12231409949498	0.76981405119696	0.66568546	-4.04362740547517	6.34759444575972	4.49756299658019	5.01301830448329	1.76752344381892	null	False
"GO:0050789"	"regulation of biological process"	NaN	NaN	NaN	NaN	NaN	NaN	74	628	457	5668	6.81813598931133	22.7796344025324	0.590218642962372	0.69674003	5.14177912340914	4.44562662306701	-5.45651088054066	3.20051459193099	0.0149242843606299	null	False
